date-time,par
Thu May 4 17:41:46 2023,72.7073
Thu May 4 18:11:46 2023,56.2219
Thu May 4 18:41:46 2023,53.4068
Thu May 4 19:11:46 2023,83.7227
Thu May 4 19:41:46 2023,14.2291
Thu May 4 20:11:46 2023,0.668842
Thu May 4 20:41:46 2023,0
Thu May 4 21:11:46 2023,0
Thu May 4 21:41:46 2023,0
Thu May 4 22:11:46 2023,0
Thu May 4 22:41:46 2023,0
Thu May 4 23:11:46 2023,0
Thu May 4 23:41:46 2023,0
Fri May 5 00:11:46 2023,0
Fri May 5 00:41:46 2023,0
Fri May 5 01:11:46 2023,0
Fri May 5 01:41:46 2023,0
Fri May 5 02:11:46 2023,0
Fri May 5 02:41:46 2023,0
Fri May 5 03:11:46 2023,0
Fri May 5 03:41:46 2023,0
Fri May 5 04:11:46 2023,0
Fri May 5 04:41:46 2023,0
Fri May 5 05:11:46 2023,0
Fri May 5 05:41:46 2023,0
Fri May 5 06:11:46 2023,0
Fri May 5 06:41:46 2023,0.845267
Fri May 5 07:11:46 2023,7.26575
Fri May 5 07:41:46 2023,24.9341
Fri May 5 08:11:46 2023,38.9816
Fri May 5 08:41:46 2023,56.3493
Fri May 5 09:11:46 2023,56.2792
Fri May 5 09:41:46 2023,44.8289
Fri May 5 10:11:46 2023,61.9764
Fri May 5 10:41:46 2023,72.6602
Fri May 5 11:11:46 2023,72.9345
Fri May 5 11:41:46 2023,154.557
Fri May 5 12:11:46 2023,154.8
Fri May 5 12:41:46 2023,138.949
Fri May 5 13:11:46 2023,83.2236
Fri May 5 13:41:46 2023,78.6003
Fri May 5 14:11:46 2023,86.343
Fri May 5 14:41:46 2023,95.7747
Fri May 5 15:11:46 2023,79.4
Fri May 5 15:41:46 2023,57.5525
Fri May 5 16:11:46 2023,56.0767
Fri May 5 16:41:46 2023,40.5359
Fri May 5 17:11:46 2023,44.1732
Fri May 5 17:41:46 2023,30.4838
Fri May 5 18:11:46 2023,20.3319
Fri May 5 18:41:46 2023,9.92342
Fri May 5 19:11:46 2023,5.26412
Fri May 5 19:41:46 2023,2.68386
Fri May 5 20:11:46 2023,0.0207017
Fri May 5 20:41:46 2023,0
Fri May 5 21:11:46 2023,0
Fri May 5 21:41:46 2023,0
Fri May 5 22:11:46 2023,0
Fri May 5 22:41:46 2023,0
Fri May 5 23:11:46 2023,0
Fri May 5 23:41:46 2023,0
Sat May 6 00:11:46 2023,0
Sat May 6 00:41:46 2023,0
Sat May 6 01:11:46 2023,0
Sat May 6 01:41:46 2023,0
Sat May 6 02:11:46 2023,0
Sat May 6 02:41:46 2023,0
Sat May 6 03:11:46 2023,0
Sat May 6 03:41:46 2023,0
Sat May 6 04:11:46 2023,0
Sat May 6 04:41:46 2023,0
Sat May 6 05:11:46 2023,0
Sat May 6 05:41:46 2023,0
Sat May 6 06:11:46 2023,0
Sat May 6 06:41:46 2023,0.908982
Sat May 6 07:11:46 2023,4.57042
Sat May 6 07:41:46 2023,15.6039
Sat May 6 08:11:46 2023,25.6507
Sat May 6 08:41:46 2023,40.2661
Sat May 6 09:11:46 2023,65.6655
Sat May 6 09:41:46 2023,102.24
Sat May 6 10:11:46 2023,134.252
Sat May 6 10:41:46 2023,191.646
Sat May 6 11:11:46 2023,188.251
Sat May 6 11:41:46 2023,218.974
Sat May 6 12:11:46 2023,221.601
Sat May 6 12:41:46 2023,237.732
Sat May 6 13:11:46 2023,243.384
Sat May 6 13:41:46 2023,253.683
Sat May 6 14:11:46 2023,177.329
Sat May 6 14:41:46 2023,164.067
Sat May 6 15:11:46 2023,207.371
Sat May 6 15:41:46 2023,158.359
Sat May 6 16:11:46 2023,132.79
Sat May 6 16:41:46 2023,110.31
Sat May 6 17:11:46 2023,73.9227
Sat May 6 17:41:46 2023,68.1405
Sat May 6 18:11:46 2023,44.7802
Sat May 6 18:41:46 2023,33.0898
Sat May 6 19:11:46 2023,17.7565
Sat May 6 19:41:46 2023,10.3799
Sat May 6 20:11:46 2023,0.874362
Sat May 6 20:41:46 2023,0.00027
Sat May 6 21:11:46 2023,0.00027
Sat May 6 21:41:46 2023,0.00027
Sat May 6 22:11:46 2023,0.00027
Sat May 6 22:41:46 2023,0.00027
Sat May 6 23:11:46 2023,0.00027
Sat May 6 23:41:46 2023,0.00027
Sun May 7 00:11:46 2023,0.00027
Sun May 7 00:41:46 2023,0.00027
Sun May 7 01:11:46 2023,0.00027
Sun May 7 01:41:46 2023,0.00027
Sun May 7 02:11:46 2023,0.00027
Sun May 7 02:41:46 2023,0.00027
Sun May 7 03:11:46 2023,0.00027
Sun May 7 03:41:46 2023,0.00027
Sun May 7 04:11:46 2023,0.00027
Sun May 7 04:41:46 2023,0.00027
Sun May 7 05:11:46 2023,0.00027
Sun May 7 05:41:46 2023,0.00027
Sun May 7 06:11:46 2023,0.03453
Sun May 7 06:41:46 2023,5.11345
Sun May 7 07:11:46 2023,19.892
Sun May 7 07:41:46 2023,45.9171
Sun May 7 08:11:46 2023,84.1812
