DateTime,Indoor PAR Z4 (PAR)
Thu May 18 08:22:22 2023,21.7782
Thu May 18 09:22:22 2023,25.6791
Thu May 18 10:22:22 2023,40.1824
Thu May 18 11:22:22 2023,72.6437
Thu May 18 12:22:22 2023,139.88
Thu May 18 13:22:22 2023,154.973
Thu May 18 14:22:22 2023,112.594
Thu May 18 15:22:22 2023,60.4892
Thu May 18 16:22:22 2023,14.4926
Thu May 18 17:22:22 2023,12.651
Thu May 18 18:22:22 2023,11.0886
Thu May 18 19:22:22 2023,3.99735
Thu May 18 20:22:22 2023,0.218976
Thu May 18 21:22:22 2023,0.000381667
Thu May 18 22:22:22 2023,0.000379167
Thu May 18 23:22:22 2023,0.000258333
Fri May 19 00:22:22 2023,0
Fri May 19 01:22:22 2023,0
Fri May 19 02:22:22 2023,0
Fri May 19 03:22:22 2023,0
Fri May 19 04:22:22 2023,0
Fri May 19 05:22:22 2023,0
Fri May 19 06:22:22 2023,2.11219
Fri May 19 07:22:22 2023,19.6459
Fri May 19 08:22:22 2023,66.6868
Fri May 19 09:22:22 2023,96.6967
Fri May 19 10:22:22 2023,131.654
Fri May 19 11:22:22 2023,179.694
Fri May 19 12:22:22 2023,210.308
Fri May 19 13:22:22 2023,189.862
Fri May 19 14:22:22 2023,123.543
Fri May 19 15:22:22 2023,174.334
Fri May 19 16:22:22 2023,102.389
Fri May 19 17:22:22 2023,92.4287
Fri May 19 18:22:22 2023,60.552
Fri May 19 19:22:22 2023,38.7281
Fri May 19 20:22:22 2023,0.338673
Fri May 19 21:22:22 2023,1.00E-05
Fri May 19 22:22:22 2023,1.00E-05
Fri May 19 23:22:22 2023,1.00E-05
Sat May 20 00:22:22 2023,1.00E-05
Sat May 20 01:22:22 2023,1.00E-05
Sat May 20 02:22:22 2023,1.00E-05
Sat May 20 03:22:22 2023,1.00E-05
Sat May 20 04:22:22 2023,1.00E-05
Sat May 20 05:22:22 2023,1.00E-05
Sat May 20 06:22:22 2023,2.58094
Sat May 20 07:22:22 2023,11.4968
Sat May 20 08:22:22 2023,48.6796
Sat May 20 09:22:22 2023,57.6574
Sat May 20 10:22:22 2023,155.386
Sat May 20 11:22:22 2023,155.695
Sat May 20 12:22:22 2023,174.728
Sat May 20 13:22:22 2023,128.183
Sat May 20 14:22:22 2023,148.026
Sat May 20 15:22:22 2023,192.042
Sat May 20 16:22:22 2023,129.027
Sat May 20 17:22:22 2023,78.4665
Sat May 20 18:22:22 2023,57.8661
Sat May 20 19:22:22 2023,13.2789
Sat May 20 20:22:22 2023,0.140566
Sat May 20 21:22:22 2023,-0.00016
Sat May 20 22:22:22 2023,-0.00016
Sat May 20 23:22:22 2023,-0.00016
Sun May 21 00:22:22 2023,-0.00016
Sun May 21 01:22:22 2023,-0.00016
Sun May 21 02:22:22 2023,-0.00016
Sun May 21 03:22:22 2023,-0.00016
Sun May 21 04:22:22 2023,-0.00016
Sun May 21 05:22:22 2023,-0.00016
Sun May 21 06:22:22 2023,7.32919
Sun May 21 07:22:22 2023,41.942
Sun May 21 08:22:22 2023,112.518
Sun May 21 09:22:22 2023,150.452
Sun May 21 10:22:22 2023,135.575
Sun May 21 11:22:22 2023,144.748
Sun May 21 12:22:22 2023,178.895
Sun May 21 13:22:22 2023,236.732
Sun May 21 14:22:22 2023,199.363
Sun May 21 15:22:22 2023,179.394
Sun May 21 16:22:22 2023,132.359
Sun May 21 17:22:22 2023,97.3767
Sun May 21 18:22:22 2023,57.6908
Sun May 21 19:22:22 2023,21.6528
Sun May 21 20:22:22 2023,0.207162
Sun May 21 21:22:22 2023,-0.000179167
Sun May 21 22:22:22 2023,-0.00018
Sun May 21 23:22:22 2023,-0.00018
Mon May 22 00:22:22 2023,-0.00018
Mon May 22 01:22:22 2023,-0.00018
Mon May 22 02:22:22 2023,-0.00018
Mon May 22 03:22:22 2023,-0.00018
Mon May 22 04:22:22 2023,-0.000179167
Mon May 22 05:22:22 2023,-0.00018
Mon May 22 06:22:22 2023,2.78025
Mon May 22 07:22:22 2023,27.4284
Mon May 22 08:22:22 2023,74.4896
Mon May 22 09:22:22 2023,98.3151
