DateTime,Indoor Temp Z4 (F)
Tue May 9 07:03:41 2023,73.8436
Tue May 9 08:03:41 2023,75.9518
Tue May 9 09:03:41 2023,82.1786
Tue May 9 10:03:41 2023,85.4243
Tue May 9 11:03:41 2023,86.2931
Tue May 9 12:03:41 2023,86.6095
Tue May 9 13:03:41 2023,87.3446
Tue May 9 14:03:41 2023,86.4876
Tue May 9 15:03:41 2023,84.755
Tue May 9 16:03:41 2023,84.4069
Tue May 9 17:03:41 2023,85.1468
Tue May 9 18:03:41 2023,84.0986
Tue May 9 19:03:41 2023,83.0108
Tue May 9 20:03:41 2023,81.5071
Tue May 9 21:03:41 2023,78.2733
Tue May 9 22:03:41 2023,76.2968
Tue May 9 23:03:41 2023,75.2319
Wed May 10 00:03:41 2023,74.7125
Wed May 10 01:03:41 2023,73.7308
Wed May 10 02:03:41 2023,74.5958
Wed May 10 03:03:41 2023,74.8577
Wed May 10 04:03:41 2023,74.7582
Wed May 10 05:03:41 2023,75.2495
Wed May 10 06:03:41 2023,75.7503
Wed May 10 07:03:41 2023,75.0922
Wed May 10 08:03:41 2023,81.6309
Wed May 10 09:03:41 2023,85.1532
Wed May 10 10:03:41 2023,84.7623
Wed May 10 11:03:41 2023,85.1866
Wed May 10 12:03:41 2023,85.7362
Wed May 10 13:03:41 2023,86.3679
Wed May 10 14:03:41 2023,86.2076
Wed May 10 15:03:41 2023,85.55
Wed May 10 16:03:41 2023,85.156
Wed May 10 17:03:41 2023,85.1732
Wed May 10 18:03:41 2023,85.7228
Wed May 10 19:03:41 2023,84.7318
Wed May 10 20:03:41 2023,80.8626
Wed May 10 21:03:41 2023,78.19
Wed May 10 22:03:41 2023,77.163
Wed May 10 23:03:41 2023,76.7095
Thu May 11 00:03:41 2023,76.1626
Thu May 11 01:03:41 2023,75.391
Thu May 11 02:03:41 2023,74.964
Thu May 11 03:03:41 2023,74.3932
Thu May 11 04:03:41 2023,73.8062
Thu May 11 05:03:41 2023,74.7977
Thu May 11 06:03:41 2023,74.7625
Thu May 11 07:03:41 2023,74.1826
Thu May 11 08:03:41 2023,77.9794
Thu May 11 09:03:41 2023,83.6188
Thu May 11 10:03:41 2023,85.5305
Thu May 11 11:03:41 2023,83.754
Thu May 11 12:03:41 2023,84.3635
Thu May 11 13:03:41 2023,82.2915
Thu May 11 14:03:41 2023,85.1281
Thu May 11 15:03:41 2023,85.1463
Thu May 11 16:03:41 2023,85.1487
Thu May 11 17:03:41 2023,83.6281
Thu May 11 18:03:41 2023,84.7064
Thu May 11 19:03:41 2023,84.049
Thu May 11 20:03:41 2023,79.8324
Thu May 11 21:03:41 2023,77.4356
Thu May 11 22:03:41 2023,75.7487
Thu May 11 23:03:41 2023,74.5216
Fri May 12 00:03:41 2023,73.619
Fri May 12 01:03:41 2023,75.0676
Fri May 12 02:03:41 2023,74.3355
Fri May 12 03:03:41 2023,75.1188
Fri May 12 04:03:41 2023,74.5648
Fri May 12 05:03:41 2023,74.8865
Fri May 12 06:03:41 2023,74.5433
Fri May 12 07:03:41 2023,74.6189
Fri May 12 08:03:41 2023,77.6194
Fri May 12 09:03:41 2023,77.9479
Fri May 12 10:03:41 2023,81.3264
Fri May 12 11:03:41 2023,77.8418
Fri May 12 12:03:41 2023,79.5993
Fri May 12 13:03:41 2023,84.685
Fri May 12 14:03:41 2023,82.2314
Fri May 12 15:03:41 2023,84.6541
Fri May 12 16:03:41 2023,85.6778
Fri May 12 17:03:41 2023,83.2678
Fri May 12 18:03:41 2023,81.9401
Fri May 12 19:03:41 2023,79.8151
Fri May 12 20:03:41 2023,76.8183
Fri May 12 21:03:41 2023,75.2645
Fri May 12 22:03:41 2023,74.1114
Fri May 12 23:03:41 2023,74.2721
Sat May 13 00:03:41 2023,74.9766
Sat May 13 01:03:41 2023,74.7532
Sat May 13 02:03:41 2023,75.4904
Sat May 13 03:03:41 2023,75.1676
Sat May 13 04:03:41 2023,75.8544
Sat May 13 05:03:41 2023,75.2881
Sat May 13 06:03:41 2023,75.6726
Sat May 13 07:03:41 2023,74.3615
Sat May 13 08:03:41 2023,76.2394
Sat May 13 09:03:41 2023,79.8587
Sat May 13 10:03:41 2023,82.4982
Sat May 13 11:03:41 2023,85.0495
Sat May 13 12:03:41 2023,86.4389
Sat May 13 13:03:41 2023,87.9178
Sat May 13 14:03:41 2023,87.5588
Sat May 13 15:03:41 2023,88.189
Sat May 13 16:03:41 2023,87.1895
Sat May 13 17:03:41 2023,85.3143
Sat May 13 18:03:41 2023,83.3205
Sat May 13 19:03:41 2023,84.8251
Sat May 13 20:03:41 2023,82.4032
Sat May 13 21:03:41 2023,79.7819
Sat May 13 22:03:41 2023,77.434
Sat May 13 23:03:41 2023,76.5666
Sun May 14 00:03:41 2023,75.9064
Sun May 14 01:03:41 2023,75.4834
Sun May 14 02:03:41 2023,74.6696
Sun May 14 03:03:41 2023,73.9811
Sun May 14 04:03:41 2023,73.4886
Sun May 14 05:03:41 2023,74.8739
Sun May 14 06:03:41 2023,74.6837
Sun May 14 07:03:41 2023,75.0882
Sun May 14 08:03:41 2023,81.9578
Sun May 14 09:03:41 2023,85.6193
Sun May 14 10:03:41 2023,86.4581
Sun May 14 11:03:41 2023,88.6593
Sun May 14 12:03:41 2023,89.1957
Sun May 14 13:03:41 2023,89.1847
Sun May 14 14:03:41 2023,88.5264
Sun May 14 15:03:41 2023,88.0688
Sun May 14 16:03:41 2023,87.9762
Sun May 14 17:03:41 2023,87.3912
Sun May 14 18:03:41 2023,85.5293
Sun May 14 19:03:41 2023,83.3527
Sun May 14 20:03:41 2023,80.4302
Sun May 14 21:03:41 2023,78.8759
Sun May 14 22:03:41 2023,78.2082
Sun May 14 23:03:41 2023,77.6263
Mon May 15 00:03:41 2023,76.8045
Mon May 15 01:03:41 2023,76.1598
Mon May 15 02:03:41 2023,75.5186
Mon May 15 03:03:41 2023,74.998
Mon May 15 04:03:41 2023,74.2688
Mon May 15 05:03:41 2023,73.7282
Mon May 15 06:03:41 2023,73.4611
Mon May 15 07:03:41 2023,75.1568
Mon May 15 08:03:41 2023,81.577
Mon May 15 09:03:41 2023,85.1241
Mon May 15 10:03:41 2023,84.8867
Mon May 15 11:03:41 2023,85.8469
Mon May 15 12:03:41 2023,86.4957
Mon May 15 13:03:41 2023,85.291
Mon May 15 14:03:41 2023,85.7574
Mon May 15 15:03:41 2023,86.3907
Mon May 15 16:03:41 2023,86.8142
Mon May 15 17:03:41 2023,85.5687
Mon May 15 18:03:41 2023,84.6764
Mon May 15 19:03:41 2023,82.7625
Mon May 15 20:03:41 2023,81.3735
Mon May 15 21:03:41 2023,80.3378
Mon May 15 22:03:41 2023,77.8801
Mon May 15 23:03:41 2023,77.1402
Tue May 16 00:03:41 2023,76.7753
Tue May 16 01:03:41 2023,76.5893
Tue May 16 02:03:41 2023,76.3525
Tue May 16 03:03:41 2023,75.3057
Tue May 16 04:03:41 2023,74.7296
Tue May 16 05:03:41 2023,74.8338
Tue May 16 06:03:41 2023,74.7133
Tue May 16 07:03:41 2023,75.7661
Tue May 16 08:03:41 2023,79.0103
Tue May 16 09:03:41 2023,84.2135
Tue May 16 10:03:41 2023,83.2504
Tue May 16 11:03:41 2023,84.647
Tue May 16 12:03:41 2023,86.8874
Tue May 16 13:03:41 2023,86.5307
Tue May 16 14:03:41 2023,87.641
Tue May 16 15:03:41 2023,87.7128
Tue May 16 16:03:41 2023,87.0274
Tue May 16 17:03:41 2023,80.742
Tue May 16 18:03:41 2023,77.8042
Tue May 16 19:03:41 2023,75.9474
Tue May 16 20:03:41 2023,74.5725
Tue May 16 21:03:41 2023,73.8323
Tue May 16 22:03:41 2023,73.2344
Tue May 16 23:03:41 2023,74.5506
Wed May 17 00:03:41 2023,75.0522
Wed May 17 01:03:41 2023,75.2573
Wed May 17 02:03:41 2023,74.5633
Wed May 17 03:03:41 2023,75.567
Wed May 17 04:03:41 2023,75.3794
Wed May 17 05:03:41 2023,75.4102
Wed May 17 06:03:41 2023,75.4134
Wed May 17 07:03:41 2023,74.4406
Wed May 17 08:03:41 2023,78.8474
Wed May 17 09:03:41 2023,82.8745
Wed May 17 10:03:41 2023,82.5359
Wed May 17 11:03:41 2023,83.761
Wed May 17 12:03:41 2023,84.9212
Wed May 17 13:03:41 2023,83.2298
Wed May 17 14:03:41 2023,84.3363
Wed May 17 15:03:41 2023,85.7551
Wed May 17 16:03:41 2023,83.556
