sample-id,Lipid metabolism,Carbohydrate metabolism,Glycan biosynthesis and metabolism,Amino acid metabolism,Metabolism of cofactors and vitamins,Nucleotide metabolism,Energy metabolism,Metabolism of terpenoids and polyketides,Metabolism of other amino acids,plant,developmental_stage
mtstpEiu115,1892.0729560999998,3919.432659509999,2006.1676024000005,2522.4703026300003,1473.2588570000005,806.2642054999999,8691.054205100001,353.1987445,232.188451,A. incarnata,Early-pupa
mtstpEiu116,2304.0830054999983,3788.1980181999993,2027.212445299999,2101.948624,1510.473179,624.1225106999999,10626.6622719,356.7550557999999,415.32323382000004,A. incarnata,Early-pupa
mtstpEiu117,2434.320238900001,4295.7030534,2404.283364600001,2856.4181225,1627.5288661000009,783.0228963700001,12100.259840999996,384.42057849999986,395.64639983,A. incarnata,Early-pupa
mtstpEcu38,2554.1097572369995,4596.32868319,2736.3716941399994,2689.7670099,1627.1456939999998,737.2284491,12670.7337755,439.34074929999997,362.600783,A. curassavica,Early-pupa
mtstpEcu33,2248.9761770999994,4367.67885134,2054.768120740001,2726.5089535000006,1869.8179141,1491.2726665999999,10027.415172100002,379.42049449999996,231.14302399999997,A. curassavica,Early-pupa
mtstpEiu114,1676.2637673000002,3342.7660992005085,1625.7915938,1842.8654881999998,1231.1564419999997,634.6932059000001,7487.589473699996,316.43247620000005,195.16199827,A. incarnata,Early-pupa
mtstpEcu34,1924.7235076006195,3848.6923095999996,1750.2078158999993,2102.4237771000007,1389.9744634,681.4149653000002,7614.527426300003,327.53923669999995,196.4375527,A. curassavica,Early-pupa
mtstpEcu36,2413.6608441000017,4306.631873899998,2302.5996196000015,2461.7821774999984,1671.7014778999994,717.311833,11191.235920299998,386.30290169999995,325.5014618999999,A. curassavica,Early-pupa
mtstpLiu130,2809.8207963000013,9580.481760899995,1494.8963749999998,3726.5488704999993,1620.5180917000007,692.1133947000001,56976.88313850002,433.23713639999994,254.64093549999996,A. incarnata,Late-pupa
mtstpLiu129,3487.7425104000004,8623.732829199998,1299.7489243000007,3233.2334595000007,1649.4951352,579.8431061783858,55201.508072599994,454.1137880999999,226.7759149,A. incarnata,Late-pupa
mtstpLiu133,2681.0754543999997,7574.543822000001,1404.9045674999998,3254.6160914000006,1779.3125749999995,564.0417701000001,38243.966307599985,423.1071399,223.47690160999997,A. incarnata,Late-pupa
mtstpLiu135,2983.8584426000007,6725.150649099997,1708.4312867000006,3314.5268183999992,2081.9778472000007,874.3561943000003,36614.31881899999,482.3023699000001,559.9790971000001,A. incarnata,Late-pupa
mtstpLcu50,3828.418305300001,9504.578916899995,1028.7666274999997,3106.6441245000005,1580.1791752300003,655.8497072999997,62156.219198000006,397.4682609,338.10691339999994,A. curassavica,Late-pupa
mtstpLcu56,2712.619173907637,7492.263056299998,1537.4677752999999,3582.8354054,1592.6104585000005,585.1179345,37169.470733,453.4562392000001,417.49384489999994,A. curassavica,Late-pupa
mtstpLcu49,3405.811705209187,9004.845230899999,1602.5112184999998,3193.0055944000014,1887.4531031,587.986548,53861.48054929997,525.1620124,240.77109824000004,A. curassavica,Late-pupa
mtstpLcu53,3506.7916897999994,6246.7986445000015,846.2986476000002,2061.4751113999996,1254.3741980000004,373.65697116,37738.84117299999,305.63636799999995,226.70314299999998,A. curassavica,Late-pupa
mtstpLiu131,4187.847674300002,15576.864744199995,805.04232028,3477.091494999999,1774.3485658999996,538.4143303000001,112233.52047929994,449.48746980000004,177.78867122999998,A. incarnata,Late-pupa
mtstpLcu52,3182.4249214999995,8963.1022649,1554.0221468599998,3703.1785370999996,1915.6250455999998,628.1231190999998,46006.0226465,491.4729136,226.1422587,A. curassavica,Late-pupa
mtstpAiu147,5126.242593300003,14245.973336499997,1000.7146584399998,3934.7738719000004,1745.3537207000002,634.9816640999999,89164.86661299993,414.0337461,238.61377591000002,A. incarnata,Adult
mtstpAiu149,5673.033481902383,14293.980996700007,899.7125525999998,4456.7840196,2011.7205041000009,803.5719610000001,76897.76783199998,398.265481,325.36316635000003,A. incarnata,Adult
mtstpAiu145,4938.570850900003,11497.29919136,824.1150955000003,3188.828872900003,1831.2901740899995,559.5462212999998,67042.22433499999,370.8347834000001,255.93846779999998,A. incarnata,Adult
mtstpAiu148,5613.5693175000015,12865.921482999998,1401.6075251999991,4318.375288900002,2200.4170525,908.729918,78575.72320600002,424.2623159999999,506.31128865,A. incarnata,Adult
mtstpAcu67,3589.4927905669983,9082.831699099996,674.696009963948,2716.5254786000005,1362.4405519,443.78906499999994,65987.25937100002,305.5395182,252.1319784,A. curassavica,Adult
mtstpAcu68,6973.515986207896,15655.625821800004,1516.9159745000006,5050.1164542,2539.1052406,760.9693451999998,98883.45525200006,430.9830725999999,260.89591134000005,A. curassavica,Adult
mtstpAcu69,5354.165056282999,13552.219893799998,1087.6840379,4197.9154049,2060.7037108000004,726.54328497534,75555.88460900003,362.5879449999998,519.2150448000001,A. curassavica,Adult
mtstpAiu146,5320.329552519568,13248.921644500002,1010.3690776599998,3720.9641493,1922.7424817999997,665.8399158999999,61330.44474450002,434.5349508999999,202.31321700000004,A. incarnata,Adult
mtstpAcu65,4606.911699000003,10914.69118838,815.6682585000003,3454.5495573,2108.4303554000007,602.1857587,57929.05991140002,411.6853504,186.71613200000002,A. curassavica,Adult
mtstpAcu66,5229.496962699997,14965.227942100002,741.4751961499999,4247.613156500002,1889.714072,580.0296516987877,92430.01198299999,399.9374432000001,183.19284916,A. curassavica,Adult
