genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR55038.1_212	12.058	6.01888	8.08382	8.83784	9.21229
lcl|KZ248545.1_cds_OWR55039.1_213	2.91865	1.59798	1.77426	1.86212	1.45445
lcl|KZ248545.1_cds_OWR55040.1_214	4.65727	4.07909	6.70746	6.39953	3.45146
lcl|KZ248545.1_cds_OWR55041.1_215	228.892	368.623	8.249065	23.4921	17.9056
lcl|KZ248545.1_cds_OWR55042.1_216	97.0572	162.982	0.438731	0.198464	8.91323
lcl|KZ248545.1_cds_OWR55043.1_217	3.60769	2.33267	4.469855	2.12283	1.35684
lcl|KZ248545.1_cds_OWR55044.1_218	6.64278	4.19881	12.255825	8.77585	7.4257
lcl|KZ248545.1_cds_OWR55045.1_219	64.4512	659.662	28.98105	0.145669	0.109841
lcl|KZ248545.1_cds_OWR55046.1_220	1.52591	0.828523	2.69014	1.76807	1.42513
lcl|KZ248545.1_cds_OWR55047.1_221	110.74	27.9811	24.38355	1.11151	9.56179
lcl|KZ248545.1_cds_OWR55048.1_222	0.0	0.157946	5.403567	0.0	4.49367
lcl|KZ248545.1_cds_OWR55049.1_223	0.0	0.312495	4.5211	0.0	7.84076
lcl|KZ248545.1_cds_OWR55050.1_224	235.166	3.66907	200.2285	32.5105	0.853369
lcl|KZ248545.1_cds_OWR55051.1_225	72.0978	49.1203	54.36865	5.48828	72.3393
lcl|KZ248545.1_cds_OWR55052.1_226	4.39738	1.50104	5.2353000000000005	1.27462	1.95963
lcl|KZ248545.1_cds_OWR55053.1_227	9.44095	4.97784	21.771585	8.33394	71.0461
lcl|KZ248545.1_cds_OWR55054.1_228	25.9684	20.9468	39.1078	23.6909	20.8744
lcl|KZ248545.1_cds_OWR55055.1_229	9.70057	2.99869	6.30568	5.55651	3.03056
lcl|KZ248545.1_cds_OWR55056.1_230	30.4525	19.7998	17.04165	13.7687	10.4562
