"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"mtstpEiu115",1127064.21091407,-2797537.52919831,85456.9050720845,-161552.417763506,-175710.442999362,60482.0693548452,69673.9930948168,65532.5662535285,-87684.3923768352,20376.446593832,59572.1836376025,-53250.6231169007,-18269.8283357038,-10559.2013112109,477.84110696236,-2918.73898529053,3485.3205097198,-29522.7567787114,11524.6181896848,-23542.2167485062,31861.0799462587,43600.9256034207,82842.8382246396,-153607.249230409,-17803.0001457844,51082.7853740663,-69293.7899832302,1212.47636844525,43431.288414924,-22882.4840296612,18195.8127358601,13066.6773401549,59939.5903700195,3470.94125606342,649.958247501847,-10429.4019645029,16159.5540511435,-44543.6869332294,23242.44220581,2209.0213906331,-3670.89297617157,-4777.12118564434,-5108.97985988548,4236.54963579004,-86.474666484939,780.228735309718,5345.11139443085,-469.528916561973,-1.4915713109076e-10
"mtstp3cu8",-1928408.81960666,133957.464365525,-117690.31222451,971844.737527331,-116576.636413414,-96398.1493668224,14814.5807303941,-12107.6869487549,23786.2585577295,-21234.0712012457,61522.2688367959,-31507.5768860727,29401.0477226315,92613.6832046633,-155225.624059172,-125221.26952418,36794.1832432763,93617.2111430931,-13517.1349776018,-20647.0667007485,25725.3766832028,-7774.7903201222,34177.6866557561,6833.21262194541,-9006.60651249856,13333.8928554425,13615.6474028261,-2922.78827773567,-7907.9650051643,4059.20431455643,-7106.6787873419,10472.6587971763,4789.93659579191,70660.6456679388,55255.667637413,25838.6850685216,-49517.3969694,-28386.6790673325,-21662.4805583645,600.500617357121,19355.0801707719,19437.9551847515,-5281.59232450534,2561.13290547829,2263.5427620966,31235.3446456521,-1237.80910332429,3664.55300973123,-2.58296495303512e-10
"mtstp3iu83",-2206485.19299566,258437.856809321,-60741.3296256768,976107.426991594,-140929.169724428,45135.4087125855,64810.6986528358,67187.0153657352,33163.0796922745,-21303.7560292647,7593.79489657295,29286.4120807067,-17593.5023998833,-43860.7973281225,70138.4707215636,50022.3159785335,-5027.71382455444,-15556.7002647802,-2545.25545274795,2695.28672435925,6730.32734353409,-8556.76685300428,48810.9802669236,29266.6201068257,-14686.6600879236,11053.7874001059,-5622.94731241701,12047.1095444024,-2464.07820777467,398.459030800177,-3608.86092047217,-211.759388725291,2096.84122520994,-18975.4611330951,-13676.2277947464,1087.23526303145,-9528.1146771704,10120.0270436865,11887.251850542,27134.983064694,-8464.95008048776,-4094.52675790868,1319.73464101066,9618.35570468392,16532.0280795919,37093.3936531968,309.047951316602,89449.2814131217,-3.91082721762359e-10
"mtstpLcu53",1622566.81649437,878212.531095547,-1107251.56826542,-690717.832087234,-829036.445994523,55113.3697889687,122591.961570336,-129087.352409372,397224.565891409,145559.657085472,-49349.0177570194,-55560.4389684231,-144518.536406513,26081.0278786108,38689.0426548402,-73618.7460010958,-45017.5211573651,-15044.9825656121,-78563.8349467043,-4871.05012210532,17580.7686243202,207.142962188322,13872.7749546166,-21271.5245885211,-42825.0130656824,-65258.4988722835,22706.5908869208,4580.31829244892,-14020.8133507269,5628.14442044739,-9184.05375945997,1038.24906633999,-11088.698273631,-2057.96320360093,-9384.97585536148,19335.511764537,11654.2025884403,-9569.29879020762,8968.31171386345,-2102.56937760293,-360.976765248918,2356.01312794896,-285.578928949153,4175.62655128248,1219.77130697569,-2726.14066808175,-2428.63464091663,-282.547211774551,3.78349795937538e-10
"mtstpAcu66",2226782.43502615,1220883.20112828,1103695.77628022,165784.007470488,-12203.4674875617,10051.2835454574,-30208.1912081785,4545.31328606661,-26179.3023106368,-57840.1580599212,-16014.4798864012,18991.0325349908,-88709.3300305538,-92548.775501892,-31671.0950130109,-42324.4152478211,18638.4867717821,-13260.6856270058,47381.333211992,15328.798981983,26644.7993166561,-3073.14811749044,-7120.70897448901,6492.50970641392,-14850.3452381022,-14917.6234975676,75293.5007667657,5057.38069571485,132361.224626423,-39794.5190791688,26044.1655767353,-39152.0789275773,-8126.63684253955,18639.250443504,-9484.43359049443,46.2162890940017,11056.11476606,-3214.91863361845,-3558.80652511469,-16897.9045336961,-19209.5830122396,15062.1637198465,16106.1178598648,-61091.8936057864,5199.00832949296,18712.9354145159,2242.82370804388,3311.20997214075,3.46517481375486e-10
"mtstp5cu18",-1926299.60080353,68856.3163111806,533497.919124038,-1217902.46055709,-38601.3315903868,-305577.365136896,85651.7838466063,240334.876806187,-16157.2912487947,1421.20382411934,-115761.217785977,24592.4273079083,1102.45845185889,38941.4673929641,-72457.7446638276,-6753.66383095482,28965.7141667801,-74062.7242001934,-57571.9121401841,75699.8906519882,-48798.8408702066,11709.0224614646,7165.35731528526,2375.1720885872,-5591.42073066787,11831.23255693,-2090.11077094649,11782.5314341204,1051.93336769336,-2532.01171851274,-6567.15056928827,937.913981858527,6328.40775469104,15598.7581479244,12453.8926877364,3122.62755260218,18654.2021198958,-1887.06769653434,-33402.5906982425,80896.9920210078,-14679.8332284821,3743.43915577786,33704.1285576443,-13485.7067021721,33778.2332176584,-28575.5788747044,-288.309181979744,47.860826971789,-3.01952240988612e-10
"mtstpEcu36",867934.029747784,-2521695.89191907,-105975.126850979,194719.252118119,240529.08126692,-37623.3456698264,-154381.661974283,-49689.776770485,133468.304496704,-64206.3566043956,-125710.166360624,60433.7089881906,-29979.2917700589,5708.64211198052,828.112703230673,-774.335242884046,14307.6818566926,4567.66741064189,16227.8150602123,-26627.5786056917,8026.90112753196,9592.83718373991,-25391.7614342391,26893.9628060213,-34394.7381901192,-5185.53595493247,11457.4097923965,28864.2483435613,-9216.43357604309,1538.80755325698,-22874.3527747516,-18347.7729925298,97990.2280189922,20916.5777610557,-17428.9399714113,24427.5037437025,2656.28984799644,46330.6054360817,-37186.8002230523,-3505.74952130359,-61870.0336856872,27917.605592004,-4464.27013623357,30155.6877591224,-31040.7353480202,743.841185584943,10152.4456256983,-1398.12681650985,-3.11047188006341e-10
"mtstp5cu21",-2292809.10035958,307327.292742726,475925.030333069,-894804.683865702,155840.394320816,217299.32957091,-39050.6787262635,-112673.911952175,43647.102572533,-17174.7253854405,62555.1829286926,-2449.08846595649,4755.43307432339,-1683.68985167218,-9179.17999065309,-6375.17836910716,9671.82377246926,8205.62519567105,-7198.93295247651,20521.8883711043,-7401.18904641231,5553.08713453476,-30938.440689417,-44204.2679346279,-22458.9195109279,55392.0048197247,85425.8166575733,-18306.1431909908,-32363.5217292355,-14260.4930226461,6591.16557729344,-13834.256149469,15896.8767058456,-54686.6651636326,50632.9853968689,15506.8380087331,-9978.2810362095,-6052.01219947437,4856.26606369239,-18386.0390740321,-10994.5469305366,-48232.9524242179,69662.4361922042,19063.5501413111,-22396.3481155844,20517.5176808209,-6716.47885541959,92.9708608603121,-3.72892827726901e-10
"mtstp3iu84",-2193467.0647843,274566.518079397,-49024.6204730448,915388.762124971,-121133.846230209,37341.7517993904,63603.7168660327,63246.3665855915,24311.4148641294,-4076.62570733949,-8055.80608349014,26296.2500102082,-19993.695707261,-32478.3768308033,64446.313361402,47731.4774446158,-19569.4622978953,-32945.9835299279,9689.30924746245,7476.36176066862,-3083.92227155041,7705.50492063773,-22496.2042696894,-4848.59031469835,-3738.12286199201,-2468.97872457545,6576.27176923328,-6727.1830994999,-3679.36296521355,1812.86707336627,2089.32175558626,225.894048258978,2332.29329405908,-49755.8453529744,5542.19597866451,-2698.03564553557,-9069.72374120472,-79681.8921389056,-119255.582588848,-23625.1082920249,7983.83798359114,8825.63972017727,-22554.8175037422,-8114.60040046869,-5816.58261414152,-14880.9677522688,2516.47494942334,-6886.11027132058,-2.41925590671599e-10
"mtstp3iu82",-2101645.2889753,252023.387459121,-115511.688049937,963082.521970534,-127544.848499987,19615.5141871024,47010.9913426637,55060.554703407,20399.6839294349,-23149.4945208702,9664.95670162911,12746.4519941437,-18977.3106984763,-59651.5002572671,73036.2608652634,42916.8949772586,12542.3483730034,-7220.03417349442,-8331.08050832396,4893.08160875454,4472.89646850957,-27623.4585384935,65211.1015903445,38193.3705797429,-32539.2097615494,23832.2775338974,269.554616138236,13168.3605000701,9575.24305339566,12845.9286503107,-1193.27003990448,-16450.9702690848,2616.47574293337,16171.4701984531,98532.2833628456,13286.9151562266,82283.7410309518,37633.3496323712,19296.0909175268,4685.48668774699,31101.0498479761,3318.75893304087,-11627.9698370251,-7872.77131853221,-32866.9864928008,-21618.7215868114,-1885.13793980354,-18983.4816980424,-2.3283064365387e-10
"mtstpAiu146",1985711.70798523,1010198.84312575,1044012.24917378,288957.388416513,228781.664146984,-2828.98077715483,72888.3358506153,-23152.1932133658,-5881.79866475968,-111552.176293947,-72045.6860757855,-162294.5564781,35825.9028290363,89078.0008290202,83428.9591090781,-33252.5554042681,6346.18470490956,-15796.9991676051,41877.655694542,-15760.0657825089,-53574.9004925588,136133.853749118,35456.6336933067,25917.485728481,-26873.4764322343,-16436.5184598136,-26803.5412828555,-29587.8477861614,-77388.8893833497,-13736.5098098035,22925.776350649,-80663.1399746942,-11637.8454859048,13128.2728581525,-6776.3693994919,17327.6911392815,8332.69577641326,-10711.1486109924,4216.11674720043,-5705.97899218321,4141.04393184561,-2490.70950437425,3772.66399911334,-15760.7235021677,1600.16895253085,4182.25303744678,-455.52849599623,1294.73434778972,2.22826201934367e-10
"mtstp3cu3",-2166016.33032407,317778.114437977,-53072.7263425349,925859.320893897,-106471.120590661,45472.8875668809,49251.4837133606,100261.701661434,13933.8117509808,-17817.7528985107,-29188.7155602794,10206.3807971294,-8499.04731547938,-25162.2748642993,41330.9410735548,45353.2200981828,-11696.8465468375,-44422.2636529986,-3304.97054271819,22323.4953666454,-19270.7691080946,14931.7677331462,-60729.9562662611,-42247.6538278846,19775.151783997,-3760.01898075057,19264.827893567,-12033.5899557001,-11247.3369827837,-7002.56831116367,-1538.34848777097,13412.3446492149,43.6141006352973,79510.6896556074,-848.524140172175,3950.35788072128,-41123.9948828346,-313.260945241591,41030.8962012329,-58068.9827351699,-10351.7177366802,12364.5458321402,29634.4032823027,8582.93972962299,20026.3546840531,-66955.5373737311,3488.52946907715,11511.4952704611,-2.18278728425503e-10
"mtstpAcu69",2117765.34661562,1113163.40605326,990764.324470354,256683.343171721,141900.467977066,-18475.1834061219,-47697.0684096221,53811.8110305971,41448.0190290649,111167.888226457,52291.3969511015,101177.619055665,86375.5966271576,-94768.3607035807,-32618.0131084758,-51433.714511744,-64264.5142174536,-24581.2840191698,-9146.96434033387,44227.9061490359,31580.8220978478,-63927.3915966124,21081.69424244,-44191.6683906859,47656.2606604713,3238.43417953791,-11944.3308759763,-26476.1568623523,-50023.6594587679,125046.010258292,-27496.970049611,-70395.9721991312,21039.7647316587,8991.85880735365,-12772.0508259466,4827.20427851889,6611.08547187862,-12229.6381923164,4131.62731959871,-2363.75584431983,-6899.213499487,-2148.866962399,1861.54395293667,-11091.6859031584,1534.76402805166,3622.65454292518,-920.908847063364,589.172329409349,3.03771230392158e-10
"mtstpAcu68",1468505.1211424,1003937.35428807,636520.132026349,305472.74817212,273861.424778473,-68594.5657840658,-360852.467024589,194935.68069955,-44079.4329239714,195180.410347828,110895.302970944,-63643.9644102551,-228147.194012546,70422.8280179564,-49668.4714567649,134161.640863462,-2920.6553069711,48416.446123756,-83773.8914487192,-35560.7308550307,6784.70768557435,43391.8402614033,-25481.8730201833,24622.5043592364,-19433.6444820123,35616.5410155407,-8955.33960518585,-24833.1371331629,10041.6039189266,44671.1594285735,21185.1122276797,7417.18574633174,-2084.32037840212,-3437.9498018039,-3432.82660260564,7419.04137717621,119.928973799675,-2184.99613277053,4686.29297005129,652.144512678951,1783.59341857371,-810.564563186516,-1060.19286765076,2882.91007773728,279.706774761319,-870.923351786821,1814.23536413753,167.716215389172,2.29647412197664e-10
