genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR54912.1_86	35.4605	14.9855	19.2842	38.1103	12.971
lcl|KZ248545.1_cds_OWR54913.1_87	9.56915	4.06363	7.48882	10.6644	4.00622
lcl|KZ248545.1_cds_OWR54914.1_88	2.75924	1.7053	3.33905	2.44279	2.15263
lcl|KZ248545.1_cds_OWR54915.1_89	3.25711	1.47426	2.64555	1.25451	1.55224
lcl|KZ248545.1_cds_OWR54916.1_90	4.2913	4.47034	0.0594199	0.893978	0.243453
lcl|KZ248545.1_cds_OWR54917.1_91	7.73721	4.84488	49.1893	9.76889	16.2141
lcl|KZ248545.1_cds_OWR54918.1_92	5.99341	4.12394	48.3005	10.7518	14.3934
lcl|KZ248545.1_cds_OWR54919.1_93	1.40546	0.274196	0.753451	0.424451	4.62822
lcl|KZ248545.1_cds_OWR54920.1_94	16.8569	6.20607	28.8703	3.29838	11.2486
lcl|KZ248545.1_cds_OWR54921.1_95	29.9748	16.8009	23.7111	19.4221	16.5195
lcl|KZ248545.1_cds_OWR54922.1_96	0.959772	0.419269	1.48392	1.60256	1.55618
lcl|KZ248545.1_cds_OWR54923.1_97	5.81894	6.24312	4.34736	6.25296	8.16884
lcl|KZ248545.1_cds_OWR54924.1_98	0.951316	0.0	0.0	0.725722	7.00693
lcl|KZ248545.1_cds_OWR54925.1_99	5.24597	2.97596	2.7916	4.23905	5.44086
lcl|KZ248545.1_cds_OWR54926.1_100	4.74984	1.51944	3.57927	2.7742	1.02759
lcl|KZ248545.1_cds_OWR54927.1_101	2.52092	1.43003	4.16902	2.69147	1.85386
lcl|KZ248545.1_cds_OWR54928.1_102	20.6572	0.302826	2.98778	76.5337	1.20815
lcl|KZ248545.1_cds_OWR54929.1_103	149.817	57.5943	114.538	66.044	12.8503
lcl|KZ248545.1_cds_OWR54930.1_104	25.4542	0.523297	0.0141843	0.12806	0.0213263
lcl|KZ248545.1_cds_OWR54931.1_105	15.5824	4.00416	7.45412	14.0438	36.3338
lcl|KZ248545.1_cds_OWR54932.1_106	11.0418	4.37891	6.41222	37.1116	14.9233
lcl|KZ248545.1_cds_OWR54933.1_107	0.709079	0.623592	21.0526	0.906772	0.253237
lcl|KZ248545.1_cds_OWR54934.1_108	19.9858	7.25381	9.01714	19.7795	10.3275
lcl|KZ248545.1_cds_OWR54935.1_109	0.610847	0.118689	0.4961	0.107318	0.0900292
lcl|KZ248545.1_cds_OWR54936.1_110	8.87897	3.4067	6.46262	7.749	4.55068
lcl|KZ248545.1_cds_OWR54937.1_111	8.43471	17.4013	0.204034	0.0166769	0.012018
lcl|KZ248545.1_cds_OWR54938.1_112	20.1323	10.5108	17.5052	15.5133	12.795
lcl|KZ248545.1_cds_OWR54939.1_113	18.2835	6.52128	95.1041	32.8068	9.96951
lcl|KZ248545.1_cds_OWR54940.1_114	8.91333	4.7793	8.1805	7.12226	4.28727
lcl|KZ248545.1_cds_OWR54941.1_115	4.19357	3.94375	2.68489	4.89847	2.82446
lcl|KZ248545.1_cds_OWR54942.1_116	152.453	360.622	17.549	8.57831	107.478
lcl|KZ248545.1_cds_OWR54943.1_117	3.35012	1.716	2.55061	2.41433	1.65079
lcl|KZ248545.1_cds_OWR54944.1_118	5.43008	2.68615	8.73061	4.95266	3.94635
lcl|KZ248545.1_cds_OWR54945.1_119	0.493694	0.759627	0.0	4.60506	0.334383
lcl|KZ248545.1_cds_OWR54946.1_120	0.523585	0.476104	0.256619	2.83532	0.554708
lcl|KZ248545.1_cds_OWR54947.1_121	1.07639	3.07485	0.381621	1.3924	1.34354
lcl|KZ248545.1_cds_OWR54948.1_122	113.241	139.959	0.0	0.163873	3.09292
lcl|KZ248545.1_cds_OWR54949.1_123	12.52	9.82278	4.85658	14.732	20.8828
