"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"mtstpEiu115",834968.565953751,302119.662489699,-26096.8941172619,-105166.113296424,-55334.8887463437,15856.8681194465,28518.0583891927,-4364.08434617666,3943.60274630044,-4511.70704803064,4362.88587155083,-6687.22979700133,29748.9086424317,3509.44894084504,-20029.7876752862,-14897.5228470221,-448.69657201178,959.66159700875,-408.133692632597,-1397.76415539334,-1423.02774302483,-12681.5555125488,59.1017711310928,-6920.59553027481,-1605.92429804846,-1180.25085867482,-400.859703532999,20.014590466526,60.7410648518188,-310.462811936755,-4620.27458343222,-69.9074612032191,-502.909778483069,327.159865304887,-115.413721310659,-81.322488480514,-123.647139884858,288.492541856927,83.8279610929247,-13.8920899264955,37.5407746049793,-9.87041271519871,31.6695721923902,28.1579190805471,82.0572870933847,27.3133041728698,-4.9459600291093,-1.9590015907761,3.63797880709171e-11
"mtstp3cu8",-309372.290537943,82590.4311551317,-37206.4235987945,48742.9128353096,-47093.753120862,-4990.46618457749,6350.410731537,-13327.2871451997,24427.7798468261,-20085.0485103188,-20257.4663645475,24887.5587319743,5194.77890085805,-4586.26913213669,1164.72430980449,-666.665153707113,-1137.27195267636,-1631.1854968464,-1741.7168526802,1466.51338601851,777.938613951194,-258.153332686323,806.922997315938,-340.626514042104,-33.1836961879253,247.078300916376,431.658267923678,-967.255130266814,-79.6811113706604,228.856751085688,-267.066532937488,-166.782563215897,4614.87072575483,49.578426327933,123.531910259015,1999.65957395149,-138.131164251831,-309.695175024976,-1514.84159521938,-6005.65216007798,487.467628534413,3331.65097632597,-2754.14183135632,1867.64501483151,45.2805350200386,3227.22351031995,-581.949864154781,-229.529028971954,-2.50111042987555e-12
"mtstp3iu83",-303302.522272775,85103.1034303697,-63773.7722962614,41665.2608468699,-105250.500417399,-5690.99693723432,-3109.92733694736,7649.25330646151,-17380.3912340712,8654.78527670689,6757.6162114531,-6262.56038778973,-1986.38553728669,3989.61214004984,-1629.34217780604,734.439603793082,-915.093524803242,-599.805598315399,1036.05632089801,495.179745134576,514.236110961859,135.380811025164,-155.535575690758,-5.39596913910361,-37.2640052536585,-165.035016107132,-50.1562756200101,635.446079743338,15.537350766801,129.518415529427,-136.108266535912,-30.7611373995852,920.002551513792,-24.1823936215075,-232.327088373484,5412.95557830666,-968.684428277618,-29.3170504914414,-978.310350732152,-477.195466701103,248.497740050087,579.713811408335,-421.330688776531,-26.747989819875,60.2047391812404,-937.807479015228,1581.1598887091,5913.03863403953,1.33013600134291e-11
"mtstpLcu53",-37541.553184682,-34479.6760593402,211378.351733898,-127320.616430091,-19590.3815563361,-6028.53496550966,-10476.790582701,72430.3509260264,-10055.8315072117,-25542.9950114604,-5836.08136712386,6253.53655495422,-4234.78666429213,-4182.55303725387,1122.90108999188,-9804.98508933312,8993.08196385294,-10028.9606451657,10482.8720978124,7371.82406588884,-9359.05632297399,1111.27826228743,687.32070238911,1957.21719252649,215.98844400773,414.858590858328,-2252.74867045557,-294.96882614628,-365.484868151821,200.286950089217,51.5819646767291,-202.401025400061,-193.511399490679,34.8163036326145,-1026.33995781943,-33.7900649960293,-67.2477365655777,9.49642356294794,86.6972527034448,15.190838796065,-44.2703850821175,36.4697978135307,47.7409491240956,3.32954357633449,4.27876857578235,4.83588739262893,-27.3509350328409,-15.4064132506517,1.59161572810262e-11
"mtstpAcu66",225839.415199331,-493794.497358093,-24091.4215627788,33166.8301345411,10467.5976925568,3102.08180815146,306.569069378696,-3090.34164012911,-9569.351828398,831.310129807116,-17511.3968704937,-9056.153110043,4254.76057330865,-906.833171472405,-2113.78758109076,4626.10606394074,3618.57163269142,-60.2570245894136,1222.62772348626,2915.4057043733,-608.07058888482,-449.863571911771,-12.6320154915738,-1378.3034890911,4018.52391661141,-1421.24200244517,827.964425953792,-520.457458024501,6330.45523038168,983.645513791333,-69.1345127239024,-11601.7142603326,-472.963194745716,-7265.44921201223,394.039786077963,38.8017731769901,98.5838041218319,-2.21145285362297,-5.78645949255012,-22.265809433385,46.6712691526695,-88.7642348837623,-58.0067110448822,-51.1234187944578,-4998.16538362217,124.417454825311,53.2655802245476,25.3505344231321,-1.28238752949983e-10
"mtstp5cu18",-240147.411561612,84201.486611102,-116618.367313108,-86520.5065330412,76407.8404337525,-37338.5190685383,18487.8367731067,1663.8571214802,-16349.7395516507,16779.809437581,-3500.49741584276,11324.8508276741,2024.58519121926,-7006.03276736483,1836.7116756915,-352.362729802048,2633.22457772751,4276.47820166974,657.065295102637,-7939.2983183549,-9303.31929411818,-847.387499861375,-9180.88611604212,-705.776735504275,568.559909854508,752.3242055268,1070.60769053148,-3885.25841093367,-419.664507386217,-24.5275260444264,-73.1923186537661,109.550508855834,269.89710110825,-74.4882921112581,216.625181514173,695.493213850651,1617.02035261872,62.3238822642719,-284.228318847401,-1520.96765997794,-2685.61079303461,-4381.1696707592,-4565.02132588821,-3598.95418851576,75.4003737133164,-159.066840909306,-317.637726397953,62.1046398662444,2.6943780540023e-11
"mtstpEcu36",477189.768680389,284229.646174982,8358.13666184707,109657.711986056,46499.1656410189,-22088.8671958927,-38064.6957079434,6674.98349181946,1222.0948484648,2646.80611965429,2273.12717118914,922.841545668475,9495.85626471138,3409.24649485465,8338.7219915778,-186.499494707807,-443.48941668637,-2001.17098749188,257.567453694348,1251.65044007,-400.102707248004,7779.43335118953,-1109.10447941374,-9104.48894768717,-1611.47114877044,-990.389368464914,-548.738947007431,-154.952685403557,-8.17025575585276,191.254767343642,843.863024741933,113.740294904864,-50.206816164039,-21.8194609353162,145.622835663504,-162.669885409829,154.197663839176,10364.8511594434,-717.230865113424,-380.419711657654,1101.8664678507,-396.262044793459,49.9693197717884,30.7573612839963,8.9040215921342,22.9522590771738,-0.0393852135982797,5.02707871715444,2.22826201934367e-11
"mtstp5cu21",-286770.89906887,89881.502303839,-112759.875790577,-54702.0631772428,65746.7984940679,39744.7320194464,-17257.1600277554,1705.37754636333,1616.80773165881,-4566.01999159098,1710.9247960039,-2799.0012621814,-1467.82593310013,6017.34273159846,-2271.538949251,793.397909957753,-2095.0483581503,-2302.12980048961,455.096357059084,2630.72994829218,2816.85873142488,75.3121706187477,3015.30366318681,-149.172903335689,446.588819820246,668.438957372037,1324.76356095921,-6041.15098567338,-660.319316694824,-83.5265615130538,-94.20869741397,92.6714679221059,827.143548068167,22.529961753249,92.4735003800888,3037.6497273117,6835.25068164271,534.718560301117,8890.2703398937,-188.816343786551,978.861811802793,1332.81718537024,-89.2188420698007,-249.552740215585,16.6377843579349,-102.986556096496,-57.6073021063198,28.0673378937785,3.6720848584082e-11
"mtstp3iu84",-310136.695824714,86598.3417858226,-63738.2943939196,44489.8621140312,-99325.4614074703,-4314.86411952996,-2617.93137424326,5468.67707216628,-13592.3529546015,5641.89028526104,3364.06037561484,-2769.43703101284,-1360.6556019418,2777.65502384946,-865.286775629436,321.693093614281,-604.350555820988,-329.272976442185,376.35811431154,286.714115173711,590.235886461459,-80.7268834613573,-18.682089975435,189.200784496885,-213.044963561991,-84.434851919329,62.1837782238877,-703.957525066746,-12.423532393591,-192.558262301329,132.39286114485,190.985602718067,-2629.52251724805,-58.3362349216237,54.5844163634647,1952.72059992941,190.475803757615,193.61143889937,191.40926477887,4469.41116524455,-393.493894581404,-2543.36046925106,-4510.99036349876,7086.89916734925,-30.7793687341628,1160.66130978044,-925.388703646677,-1612.51613435169,1.72803993336856e-11
"mtstp3iu82",-304614.581229311,84846.7002684963,-60498.6129272795,42601.6381827936,-103506.468826835,-5666.69463823753,-2445.75395114715,6422.65566230257,-14965.1609442523,8549.1590344031,5953.25094820039,-6147.51068210723,-1735.69755149287,3345.61267353656,-1287.75798589372,644.78030045823,-925.749567438624,-599.816455394839,1195.00709631964,177.266204828118,196.481325869159,72.129192997977,644.446761480146,-240.627084855369,394.027431368001,400.54556037861,141.312133125172,298.089233602223,-69.7567760182341,134.998484589647,-122.670604442133,-83.2575887722264,361.81714444308,-44.4327589415733,-601.843579112032,7981.05240694642,-1477.5195101066,-6.33000231900434,-1564.53734088323,-1522.43805386677,220.281265828878,1167.1955113731,1821.21926875424,-3159.46125103872,-2.08327685885973,-2136.5383680536,1204.05178075475,-4236.20437632644,8.07176547823474e-12
